room_w,room_h,sofa_w,sofa_h,table_w,table_h,chair_w,chair_h,sofa_x,sofa_y,table_x,table_y,chair_x,chair_y
9.2,7.5,2.3,2.4,1.8,1.0,1.3,1.1,6.8999999999999995,3.788040604251797,3.6999999999999997,3.25,1.8999999999999995,3.25
9.1,8.1,2.1,2.4,2.0,1.9,0.7,1.1,1.0620010560720314,5.699999999999999,3.55,3.0999999999999996,3.55,1.4999999999999996
7.4,9.5,2.6,3.0,1.0,1.9,1.4,0.6,1.865024953663546,0.0,3.2,3.8,4.7,3.8
7.5,9.3,2.2,2.5,1.7,1.5,1.1,1.2,1.4785777084548677,6.800000000000001,2.9,3.9000000000000004,1.2999999999999998,3.9000000000000004
5.1,7.1,2.0,1.8,1.0,1.7,0.5,1.3,3.0999999999999996,4.58308269700155,2.05,2.6999999999999997,1.0499999999999998,2.6999999999999997
8.6,6.2,2.5,1.3,1.8,1.6,0.8,1.2,6.1,0.6747409212749619,3.4,2.3,5.7,2.3
8.8,5.4,1.9,1.0,1.0,1.3,0.6,1.0,5.559010228942262,4.4,3.9000000000000004,2.0500000000000003,3.9000000000000004,0.5500000000000003
6.8,5.5,1.7,2.6,1.5,1.5,0.8,1.4,5.1,0.848440463257029,2.65,2.0,4.65,2.0
7.4,9.4,2.0,1.7,1.9,1.4,0.6,1.3,4.673054095985682,7.7,2.75,4.0,1.65,4.0
5.5,6.5,1.4,1.8,1.3,1.7,0.7,1.5,4.1,3.198174476827665,2.1,2.4,3.9000000000000004,2.4
9.5,7.0,1.7,1.8,1.2,1.2,1.2,1.0,7.8,2.207008702906156,4.15,2.9,4.15,1.4
9.8,6.7,2.1,1.7,1.2,1.8,0.9,0.7,6.969908036353272,5.0,4.300000000000001,2.45,4.300000000000001,4.75
5.1,6.7,2.8,1.8,1.5,1.8,1.0,1.3,2.3,1.176738755167239,1.7999999999999998,2.45,1.7999999999999998,0.6500000000000001
5.1,6.8,2.9,3.0,1.8,1.4,0.7,1.3,2.1999999999999997,2.8652874427160016,1.65,2.7,3.95,2.7
6.8,7.0,2.3,2.1,1.2,1.4,0.9,1.0,0.0,4.819661776617612,2.8,2.8,2.8,1.2999999999999998
7.5,9.7,2.5,2.5,1.2,1.3,1.1,0.9,5.0,2.2103899828157236,3.15,4.199999999999999,1.5499999999999998,4.199999999999999
6.3,6.1,2.6,1.9,1.7,1.8,0.7,0.9,0.8707383696274266,4.199999999999999,2.3,2.15,1.0999999999999999,2.15
9.8,7.5,1.9,3.0,1.7,1.8,1.0,0.8,2.2144617748876505,0.0,4.050000000000001,2.85,6.250000000000001,2.85
9.5,7.7,1.1,1.9,1.2,1.5,1.2,1.5,0.9010143009904391,0.0,4.15,3.1,5.8500000000000005,3.1
7.5,7.8,2.7,2.6,1.4,1.6,1.4,1.4,0.0,3.528523018609965,3.05,3.0999999999999996,3.05,5.199999999999999
7.6,8.2,1.9,2.0,1.1,1.7,1.3,1.5,0.0795417345535611,6.199999999999999,3.25,3.2499999999999996,1.45,3.2499999999999996
9.3,5.2,2.2,2.2,1.8,1.6,1.0,0.6,0.37752799507794405,0.0,3.7500000000000004,1.8,6.050000000000001,1.8
7.9,9.0,1.6,1.8,1.1,1.2,1.1,1.0,4.329804072091167,0.0,3.4000000000000004,3.9,1.8000000000000003,3.9
6.1,5.6,1.4,2.2,1.0,1.8,1.5,0.5,0.7097088366538595,3.3999999999999995,2.55,1.9,4.05,1.9
8.8,5.2,1.6,2.8,1.6,1.9,1.5,1.3,7.200000000000001,1.1518187533190607,3.6000000000000005,1.6500000000000001,5.700000000000001,1.6500000000000001
7.9,5.1,1.3,2.8,1.3,1.4,1.0,1.4,2.581596309374727,0.0,3.3000000000000003,1.8499999999999999,1.8000000000000003,1.8499999999999999
7.0,9.2,1.7,1.5,1.8,1.2,0.6,1.2,0.0,1.270252222305795,2.6,3.9999999999999996,2.6,5.699999999999999
10.0,8.0,1.9,2.2,1.2,1.9,1.4,1.0,0.0,0.9962707193525168,4.4,3.05,6.1000000000000005,3.05
5.9,5.1,3.0,2.3,1.4,1.3,1.1,0.8,0.4065874218898995,0.0,2.25,1.9,2.25,0.5999999999999999
5.8,5.1,1.5,1.7,1.9,1.0,1.2,0.6,3.30720813324987,0.0,1.95,2.05,0.25,2.05
7.0,9.9,1.7,2.2,1.4,1.4,1.0,1.0,1.842500919325144,7.7,2.8,4.25,1.2999999999999998,4.25
8.6,7.8,1.0,1.7,1.9,1.8,0.9,1.4,7.6,1.4745851640940517,3.3499999999999996,3.0,5.75,3.0
8.2,6.5,2.6,1.9,1.9,1.8,0.8,1.3,4.311814984835186,4.6,3.1499999999999995,2.35,1.8499999999999996,2.35
6.2,9.5,2.7,1.8,1.7,2.0,0.8,0.6,0.0,2.7884136534390445,2.25,3.75,4.45,3.75
5.7,6.0,2.6,1.0,2.0,1.2,1.2,1.2,3.1,3.7369182324172625,1.85,2.4,4.35,2.4
9.9,5.4,1.4,2.0,1.1,1.2,1.5,1.4,0.9584299974271355,3.4000000000000004,4.4,2.1,4.4,0.20000000000000018
7.6,7.1,2.1,2.2,1.7,1.7,0.7,0.8,0.0,1.822371030439824,2.9499999999999997,2.6999999999999997,2.9499999999999997,1.3999999999999997
9.0,9.4,1.3,2.1,1.1,1.2,0.8,1.0,7.7,2.7443786430719745,3.95,4.1000000000000005,3.95,2.6000000000000005
5.8,5.4,2.0,1.9,1.6,2.0,1.2,0.6,3.8,2.667933403928955,2.0999999999999996,1.7000000000000002,2.0999999999999996,0.6000000000000001
8.4,5.5,1.1,2.0,1.6,1.2,1.1,0.8,0.0,3.425687699359126,3.4000000000000004,2.15,5.5,2.15
7.8,9.9,2.5,2.4,1.2,1.7,0.8,1.2,0.04207986735952509,0.0,3.3,4.1000000000000005,3.3,2.4000000000000004
9.4,7.5,1.0,2.8,1.1,1.3,1.2,1.1,0.0,0.7845050345819259,4.15,3.1,2.45,3.1
8.3,6.6,1.8,1.0,1.6,1.5,0.6,0.7,0.5906578929767611,5.6,3.3500000000000005,2.55,2.2500000000000004,2.55
7.0,9.7,1.2,1.2,1.4,1.4,1.4,0.8,5.8,0.6433841631143291,2.8,4.1499999999999995,2.8,2.8499999999999996
8.9,5.0,1.1,2.2,1.2,1.9,0.6,0.7,7.800000000000001,0.1676391102760789,3.85,1.55,3.85,3.95
9.9,6.8,2.7,2.4,1.5,1.0,1.1,1.5,7.2,0.3410868340411139,4.2,2.9,4.2,0.8999999999999999
8.3,7.6,2.3,2.0,1.6,1.3,0.9,0.9,6.000000000000001,2.415725960907937,3.3500000000000005,3.15,3.3500000000000005,1.75
8.5,8.1,1.4,1.3,1.9,1.7,0.6,1.4,7.1,0.6294894167035764,3.3,3.1999999999999997,3.3,5.3999999999999995
7.8,6.6,1.3,2.8,1.0,1.8,0.9,1.0,6.444477812790107,3.8,3.4,2.4,2.0,2.4
10.0,6.0,1.5,1.8,1.0,1.2,0.7,1.1,0.0,3.9728921574247327,4.5,2.4,4.5,0.7999999999999998
8.2,7.6,1.1,2.9,1.1,1.8,1.5,1.4,0.32513981139886444,0.0,3.55,2.9,3.55,5.2
7.6,7.0,2.7,2.9,1.5,1.2,1.0,1.0,3.472195228537015,4.1,3.05,2.9,3.05,4.6
5.5,8.2,2.5,2.8,1.6,1.6,1.2,0.8,3.0,4.576414447277501,1.95,3.3,1.95,2.0
6.9,5.5,1.1,1.9,1.6,1.2,1.1,1.5,0.0,0.7750351395714391,2.6500000000000004,2.15,1.0500000000000003,2.15
5.2,7.0,2.4,2.5,1.4,1.1,1.1,1.1,1.8785186128009017,0.0,1.9000000000000001,2.95,1.9000000000000001,4.550000000000001
9.0,8.1,2.8,2.7,1.6,1.6,0.5,1.1,3.160743246945295,0.0,3.7,3.25,3.7,5.35
7.0,5.4,2.2,1.7,1.1,1.1,0.9,0.8,4.412554637935913,0.0,2.95,2.1500000000000004,2.95,0.8500000000000003
9.0,5.3,1.4,2.8,1.5,1.9,0.5,1.2,4.4229790550218375,2.5,3.75,1.7,3.75,0.0
5.2,7.3,2.0,1.4,1.5,1.6,0.9,0.7,0.5515231196036589,5.9,1.85,2.8499999999999996,1.85,4.949999999999999
6.5,6.0,1.2,1.4,1.9,1.8,1.4,0.9,1.5479970214816783,4.6,2.3,2.1,2.3,0.7000000000000002
7.7,7.4,3.0,2.2,2.0,1.3,1.1,0.7,0.0,2.8898188033490064,2.85,3.0500000000000003,2.85,4.8500000000000005
5.1,7.6,1.3,1.1,1.4,1.8,1.2,0.7,1.9345061759853406,0.0,1.8499999999999999,2.9,3.75,2.9
9.7,6.9,1.9,1.3,1.6,1.0,0.6,0.8,2.3817493712153204,0.0,4.05,2.95,2.9499999999999997,2.95
6.4,7.6,1.5,1.6,1.7,1.8,1.4,0.8,3.188743514597654,0.0,2.35,2.9,2.35,1.5999999999999996
7.3,8.6,2.5,2.1,1.2,1.5,1.2,1.3,4.8,5.966267361471096,3.05,3.55,4.75,3.55
6.7,5.7,1.8,2.1,1.4,1.2,0.6,1.5,4.9,1.0366926742846307,2.6500000000000004,2.25,2.6500000000000004,3.95
6.2,6.8,2.0,2.0,1.3,1.2,0.8,1.1,3.8856976283022893,4.8,2.45,2.8,1.1500000000000001,2.8
9.2,8.4,1.4,1.5,1.2,1.4,1.3,0.9,3.9460648207026816,6.9,3.9999999999999996,3.5,2.1999999999999993,3.5
5.7,5.3,1.6,2.2,1.7,1.1,1.3,0.7,2.0996624519128178,0.0,2.0,2.0999999999999996,4.2,2.0999999999999996
9.2,5.9,1.1,2.9,2.0,1.1,1.3,0.8,8.1,0.6635078961768937,3.5999999999999996,2.4000000000000004,3.5999999999999996,4.0
9.0,5.3,1.4,1.1,1.5,1.1,1.0,1.5,5.933022651492006,0.0,3.75,2.0999999999999996,2.25,2.0999999999999996
8.7,6.4,2.7,2.8,1.4,1.3,1.3,0.7,0.0,2.459736775192999,3.6499999999999995,2.5500000000000003,1.8499999999999996,2.5500000000000003
9.5,8.0,2.4,1.9,1.2,1.5,1.5,1.0,0.26350943775121505,6.1,4.15,3.25,5.8500000000000005,3.25
5.0,9.6,2.0,1.0,1.6,1.5,0.8,0.8,1.6314074678486374,0.0,1.7,4.05,0.3999999999999999,4.05
7.1,8.9,1.3,2.3,1.6,1.7,1.4,0.7,2.6842159389391798,6.6000000000000005,2.75,3.6,2.75,2.4000000000000004
9.2,7.1,2.5,2.2,1.4,1.4,0.6,0.8,5.641283499596678,0.0,3.8999999999999995,2.8499999999999996,5.799999999999999,2.8499999999999996
7.2,6.2,1.8,2.8,1.3,1.9,1.1,1.1,5.4,2.4723777442911126,2.95,2.1500000000000004,4.75,2.1500000000000004
9.0,9.4,1.0,1.8,1.2,1.2,1.1,0.5,8.0,7.15148186770239,3.9,4.1000000000000005,3.9,3.1000000000000005
6.6,5.6,2.2,2.8,1.8,1.0,1.4,0.9,3.6509755675745432,2.8,2.4,2.3,0.5,2.3
6.2,8.4,2.2,1.6,1.5,1.8,0.7,1.5,4.0,5.691261535651351,2.35,3.3000000000000003,2.35,5.6000000000000005
9.2,8.0,1.5,2.8,2.0,1.6,1.2,1.5,0.38566064566364944,5.2,3.5999999999999996,3.2,6.1,3.2
7.8,6.4,2.7,1.6,1.9,1.5,1.3,0.7,0.04054898982514776,4.800000000000001,2.95,2.45,2.95,4.45
6.5,9.8,2.5,2.1,1.6,1.3,0.7,0.9,0.0,0.9369227677629747,2.45,4.25,1.2500000000000002,4.25
6.4,7.0,1.2,2.0,2.0,1.7,1.2,0.5,0.0,0.8608232610092803,2.2,2.65,2.2,1.65
7.3,8.6,3.0,1.7,1.0,1.4,1.2,1.2,4.3,1.6019526208886135,3.15,3.5999999999999996,4.65,3.5999999999999996
7.0,7.2,1.7,1.6,1.5,1.1,1.1,1.1,4.099232538019298,0.0,2.75,3.05,2.75,4.65
6.8,6.2,2.8,2.8,1.3,1.6,0.6,1.1,1.9422393873520676,3.4000000000000004,2.75,2.3,2.75,4.4
6.2,10.0,1.6,2.7,1.2,1.0,1.3,1.3,3.2339704005634973,0.0,2.5,4.5,2.5,6.0
5.1,5.6,2.9,1.3,2.0,2.0,1.2,0.5,2.1999999999999997,3.1227677251238997,1.5499999999999998,1.7999999999999998,1.5499999999999998,4.3
7.3,8.0,2.3,1.3,1.7,1.9,0.8,0.8,1.4855662147473252,6.7,2.8,3.05,2.8,5.449999999999999
6.1,8.3,1.3,1.2,1.8,1.5,1.5,1.3,4.8,1.310979795269886,2.15,3.4000000000000004,4.45,3.4000000000000004
6.9,9.1,1.9,2.9,1.7,1.3,1.4,1.2,0.0,5.001654153197804,2.6,3.9,4.8,3.9
8.9,7.8,2.3,2.1,1.4,1.2,0.8,0.7,0.014111615708965531,0.0,3.75,3.3,3.75,5.0
7.0,7.3,2.1,1.5,1.6,1.7,0.7,0.7,1.4557196314370087,5.8,2.7,2.8,4.800000000000001,2.8
7.1,9.2,1.3,1.1,1.2,1.7,0.9,1.2,1.6649690010160567,8.1,2.9499999999999997,3.7499999999999996,2.9499999999999997,5.949999999999999
6.3,8.4,1.5,2.8,1.0,1.1,1.2,1.4,4.8,1.0749764988535606,2.65,3.6500000000000004,4.15,3.6500000000000004
7.5,8.8,1.7,1.5,1.5,1.3,0.7,1.4,5.8,5.19998888341119,3.0,3.7500000000000004,1.7999999999999998,3.7500000000000004
6.7,9.5,2.7,1.3,1.4,1.1,0.8,1.2,0.0,6.387000063967939,2.6500000000000004,4.2,4.550000000000001,4.2
8.1,5.3,1.0,1.8,1.9,1.7,0.9,0.6,0.1896558490237223,3.5,3.0999999999999996,1.7999999999999998,3.0999999999999996,0.6999999999999997
6.7,8.3,2.3,2.1,1.5,1.1,1.4,1.0,0.0,5.34465255192215,2.6,3.6000000000000005,4.6,3.6000000000000005
9.2,9.0,1.1,2.3,1.6,1.5,1.4,1.2,6.405342666367523,6.7,3.8,3.75,3.8,5.75
5.0,7.7,2.9,2.9,2.0,1.2,0.9,1.0,0.10190653245919674,4.800000000000001,1.5,3.25,4.0,3.25
7.4,7.9,2.1,1.6,1.7,2.0,0.6,1.0,5.300000000000001,4.428261351681963,2.85,2.95,2.85,1.4500000000000002
8.9,6.3,1.8,2.2,2.0,1.4,0.7,0.7,2.5998482384206265,4.1,3.45,2.45,3.45,1.2500000000000002
9.7,7.1,1.3,1.4,1.6,1.5,0.5,1.5,4.6580608626749305,5.699999999999999,4.05,2.8,3.05,2.8
5.2,7.1,1.3,1.3,1.7,2.0,0.9,1.2,0.0,0.5110958619140653,1.75,2.55,1.75,0.8499999999999999
7.3,9.0,2.6,2.6,1.2,1.8,1.0,1.3,2.643140160270093,0.0,3.05,3.6,4.75,3.6
8.1,6.8,1.8,1.2,1.8,1.9,1.2,1.0,0.0,0.5331790091113597,3.15,2.45,3.15,4.85
6.5,9.2,1.8,1.6,1.5,1.5,1.1,0.9,0.86956141499697,0.0,2.5,3.8499999999999996,0.8999999999999999,3.8499999999999996
5.1,7.0,1.8,2.4,1.1,1.4,0.5,0.7,3.3,3.1122023285779647,1.9999999999999998,2.8,0.9999999999999998,2.8
8.1,6.0,2.4,2.9,1.6,1.4,1.4,1.2,5.699999999999999,0.9495748405828668,3.25,2.3,3.25,0.5999999999999999
6.3,7.1,1.7,2.9,1.7,1.9,1.1,0.9,3.1040644609098305,4.199999999999999,2.3,2.5999999999999996,2.3,1.1999999999999997
5.6,6.6,2.8,1.5,1.6,1.8,1.3,1.3,2.6679360652247577,5.1,1.9999999999999998,2.4,1.9999999999999998,0.5999999999999999
8.3,8.2,2.2,1.7,1.6,1.6,1.1,0.8,3.5192386837306366,6.499999999999999,3.3500000000000005,3.3,1.7500000000000004,3.3
5.6,8.3,1.4,1.7,1.8,1.3,0.6,0.9,1.4964521619834015,6.6000000000000005,1.9,3.5000000000000004,1.9,2.1000000000000005
5.1,7.3,1.1,2.4,1.3,1.2,0.6,1.0,0.0,3.57305008738917,1.9,3.05,1.9,4.75
8.7,9.4,2.9,2.2,1.8,1.6,1.2,0.8,0.0,0.07347779501720542,3.4499999999999997,3.9000000000000004,3.4499999999999997,6.0
9.9,7.2,2.2,2.6,1.0,1.4,0.5,1.2,0.0,1.1623022403420546,4.45,2.9000000000000004,4.45,1.2000000000000004
7.8,6.4,2.4,1.6,1.1,1.7,0.7,1.2,5.4,4.294567573107406,3.3499999999999996,2.35,3.3499999999999996,0.6500000000000001
9.5,7.1,1.3,1.2,1.0,1.8,1.4,0.6,0.18500338020052906,5.8999999999999995,4.25,2.65,4.25,1.5499999999999998
6.7,5.2,2.5,2.2,1.5,1.7,0.5,0.9,0.0,1.8897334160470276,2.6,1.75,2.6,0.35
5.9,8.9,1.2,1.7,1.6,1.1,0.9,1.0,0.0,4.852866100431479,2.1500000000000004,3.9000000000000004,2.1500000000000004,2.4000000000000004
5.2,7.6,1.3,3.0,2.0,1.0,1.4,0.8,2.598941551821323,4.6,1.6,3.3,1.6,4.8
8.2,5.6,1.0,1.1,1.9,1.4,0.6,1.3,0.9903097032321033,4.5,3.1499999999999995,2.0999999999999996,3.1499999999999995,0.2999999999999996
8.9,6.1,1.0,1.2,1.5,1.9,0.6,1.3,0.0,1.8941434458210071,3.7,2.0999999999999996,3.7,4.5
8.4,9.1,1.5,1.6,1.6,1.9,0.6,1.3,2.386861374676647,0.0,3.4000000000000004,3.5999999999999996,2.3000000000000003,3.5999999999999996
6.7,7.0,1.6,1.9,1.3,1.9,0.6,1.3,1.2044721482946887,5.1,2.7,2.55,1.6,2.55
8.0,9.8,1.6,1.2,1.5,1.6,0.8,0.8,1.9290662609512248,0.0,3.25,4.1000000000000005,5.25,4.1000000000000005
7.0,6.0,1.8,1.3,2.0,1.8,0.8,0.5,5.2,1.507482485588864,2.5,2.1,2.5,4.4
8.8,9.1,1.6,2.0,1.8,1.6,0.9,1.2,0.0,5.70294160271586,3.5000000000000004,3.75,5.800000000000001,3.75
8.7,6.9,3.0,1.1,2.0,1.8,0.6,1.2,2.6622237503273487,5.800000000000001,3.3499999999999996,2.5500000000000003,5.85,2.5500000000000003
8.8,9.6,1.9,1.9,1.2,1.7,1.0,0.8,0.0,4.615673377787554,3.8000000000000003,3.9499999999999997,3.8000000000000003,2.6499999999999995
6.5,8.5,1.2,2.6,1.7,1.2,0.7,0.7,2.7358212356716773,0.0,2.4,3.65,2.4,2.45
6.0,7.7,1.0,1.7,2.0,2.0,1.4,0.6,0.0,5.97373438010669,2.0,2.85,2.0,5.35
7.8,8.2,1.6,2.8,1.6,1.6,1.3,1.2,0.0,2.892648637712269,3.0999999999999996,3.3,1.2999999999999996,3.3
7.5,5.3,2.9,1.5,1.4,1.9,0.8,0.6,4.35431118061578,3.8,3.05,1.7,4.949999999999999,1.7
7.0,8.4,1.6,2.4,1.7,1.3,1.2,1.0,0.0,2.496864471170259,2.65,3.5500000000000003,2.65,2.0500000000000003
8.5,5.4,1.1,2.2,2.0,1.8,1.5,0.7,0.0,2.6118512700380947,3.25,1.8000000000000003,5.75,1.8000000000000003
6.3,9.9,2.8,3.0,1.2,1.5,0.7,0.7,1.8280212643335538,6.9,2.55,4.2,2.55,3.0
5.5,7.8,1.3,2.2,1.8,1.5,1.0,1.2,0.1634825560488231,0.0,1.85,3.15,4.15,3.15
8.8,5.7,2.7,2.9,1.4,1.3,0.8,1.0,4.301137543543802,2.8000000000000003,3.7,2.2,2.4000000000000004,2.2
7.0,8.0,2.1,2.2,1.8,1.1,0.6,0.8,0.4430658261682376,5.8,2.6,3.45,2.6,5.050000000000001
10.0,7.5,2.6,1.6,1.5,1.8,0.7,1.4,0.0,0.10256620873304728,4.25,2.85,4.25,0.9500000000000002
7.6,6.5,2.3,2.3,1.9,1.0,0.9,0.6,0.0,0.19049561244788304,2.8499999999999996,2.75,1.4499999999999997,2.75
7.7,5.9,1.4,3.0,1.7,1.7,1.3,1.0,5.6199820418228565,2.9000000000000004,3.0,2.1,3.0,4.3
8.2,9.6,2.5,1.6,1.1,1.9,1.0,1.5,2.573261643921377,0.0,3.55,3.8499999999999996,5.15,3.8499999999999996
9.3,7.9,2.8,2.1,1.2,1.6,1.1,1.3,0.8938603175662974,0.0,4.050000000000001,3.1500000000000004,4.050000000000001,5.25
8.8,8.8,1.4,1.4,1.8,1.6,1.1,1.2,7.4,4.51767459032498,3.5000000000000004,3.6000000000000005,3.5000000000000004,5.700000000000001
8.8,5.4,2.1,1.1,1.5,1.9,0.5,1.1,0.0,3.173732504854024,3.6500000000000004,1.7500000000000002,3.6500000000000004,0.15000000000000013
9.9,9.0,2.4,2.3,1.3,1.0,0.6,1.4,7.5,3.910002860246075,4.3,4.0,4.3,5.5
5.1,6.5,2.9,1.2,2.0,1.4,0.8,0.7,0.043390632367843504,5.3,1.5499999999999998,2.55,1.5499999999999998,4.449999999999999
6.0,5.9,3.0,1.6,1.4,1.2,1.2,1.4,0.0,4.122495461767678,2.3,2.35,2.3,0.4500000000000002
5.6,8.4,1.6,2.6,1.1,1.7,0.9,0.5,0.0,0.6097730004848539,2.25,3.35,2.25,5.55
9.1,9.1,3.0,2.2,2.0,1.5,0.6,0.6,3.908822789430492,0.0,3.55,3.8,3.55,5.8
8.8,5.3,1.1,1.5,1.8,1.4,1.5,0.5,0.0,1.0652260476428164,3.5000000000000004,1.95,3.5000000000000004,3.8499999999999996
8.8,9.5,2.6,2.1,1.7,1.1,1.5,0.6,0.0,6.936554132441332,3.5500000000000003,4.2,1.5500000000000003,4.2
